Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
0.31382978723404253,0.6081081081081081,,,0.3490566037735849,0.7125,0.7499999999999858,0.4404761904761907,0.5538461538461539,0.18918918918918903
,0.7432432432432433,,0.40163934426229503,0.641509433962264,0.9500000000000001,,0.25,0.5743589743589745,0.12162162162162127
0.46808510638297873,0.2702702702702703,0.1413793103448276,0.3114754098360656,0.08490566037735849,0.4375,,0.45238095238095255,0.29230769230769243,0.24324324324324298
0.05851063829787234,0.6081081081081081,0.05517241379310345,0.34426229508196715,0.18867924528301885,0.43124999999999997,0.5,0.6428571428571432,0.42564102564102574,0.4864864864864862
0.09042553191489358,0.4054054054054054,0.3620689655172413,0.34426229508196715,0.6981132075471698,0.5875,0.5,0.4285714285714284,0.22564102564102567,0.2702702702702702
0.3457446808510638,0.43243243243243246,0.20344827586206896,0.09836065573770493,0.32075471698113206,,0.2499999999999858,0.5595238095238098,0.47179487179487184,
0.2978723404255319,0.4594594594594595,0.04482758620689656,0.13934426229508196,0.3773584905660377,0.45,0.2499999999999858,0.28571428571428603,0.24615384615384622,
0.2127659574468085,0.4729729729729729,0.031034482758620682,0.21311475409836061,0.35849056603773577,0.425,0.2499999999999858,0.4642857142857144,0.4102564102564103,0.4999999999999998
0.4148936170212767,0.5945945945945946,0.31379310344827593,0.40163934426229503,0.35849056603773577,0.6250000000000001,0.5,0.4404761904761907,0.34358974358974365,0.2702702702702702
0.19148936170212763,0.4594594594594595,0.031034482758620682,0.09016393442622951,0.6792452830188679,0.4375,0.2499999999999858,0.4761904761904763,0.7692307692307696,
0.601063829787234,0.33783783783783783,0.19655172413793104,0.4918032786885245,0.7547169811320753,0.81875,0.5,0.5595238095238098,0.47179487179487184,
0.32978723404255317,,0.05517241379310345,0.1885245901639344,0.38679245283018865,0.6062500000000001,0.2499999999999858,,0.47179487179487184,0.8648648648648645
,0.48648648648648646,0.903448275862069,0.2459016393442623,0.43396226415094336,0.49999999999999994,,0.535714285714286,0.3282051282051282,0.13513513513513487
0.12765957446808504,0.5540540540540541,,0.2459016393442623,0.5660377358490566,0.49374999999999997,0.7499999999999858,0.5833333333333335,0.8,0.4054054054054055
,0.5675675675675675,,0.29508196721311475,0.5377358490566037,0.84375,1.0,0.4761904761904763,0.6564102564102565,0.216216216216216
0.48404255319148937,0.8513513513513513,0.5620689655172414,,0.660377358490566,0.6062500000000001,,0.3809523809523814,0.34358974358974365,0.12162162162162127
0.276595744680851,0.35135135135135137,0.5620689655172414,0.1557377049180328,0.0,0.3,,0.36904761904761907,0.21025641025641023,
,0.6621621621621622,,0.41803278688524587,0.6037735849056604,0.5125000000000001,1.0,0.7380952380952381,0.21025641025641023,0.18918918918918903
,0.4594594594594595,,0.1885245901639344,0.35849056603773577,,0.5,0.5238095238095237,0.5384615384615385,0.4459459459459456
0.24468085106382978,0.35135135135135137,0.6793103448275863,0.35245901639344257,,0.5750000000000001,0.7499999999999858,0.6071428571428577,0.24615384615384622,0.2297297297297296
0.276595744680851,0.48648648648648646,0.3413793103448276,0.21311475409836061,0.5377358490566037,0.6375000000000001,,0.3333333333333335,0.16410256410256413,0.5405405405405403
0.32978723404255317,,0.0034482758620689655,0.22131147540983603,0.4716981132075472,0.6062500000000001,0.2499999999999858,0.3809523809523814,0.21025641025641023,0.7297297297297298
0.31382978723404253,0.39189189189189183,0.05517241379310345,0.21311475409836061,0.45283018867924524,,0.0,,0.30769230769230776,
0.10638297872340427,0.48648648648648646,0.058620689655172406,0.21311475409836061,0.45283018867924524,0.4125,0.2499999999999858,0.34523809523809534,0.5076923076923077,0.6081081081081079
0.46808510638297873,0.3243243243243243,0.3517241379310345,0.319672131147541,,0.5875,0.5,0.41666666666666696,0.6051282051282052,0.216216216216216
0.14361702127659573,,,0.2704918032786885,0.2358490566037736,0.43124999999999997,0.7499999999999858,0.1428571428571428,0.4410256410256412,0.2702702702702702
0.22872340425531915,,0.7275862068965518,0.4918032786885245,0.5754716981132075,,,0.17857142857142838,0.30769230769230776,0.16216216216216184
0.3457446808510638,0.43243243243243246,0.3758620689655172,0.360655737704918,0.4150943396226414,0.55,0.5,0.4404761904761907,0.24615384615384622,0.17567567567567544
0.12765957446808504,0.4054054054054054,0.01724137931034482,0.1885245901639344,0.22641509433962265,0.19374999999999998,0.2499999999999858,0.3214285714285716,,0.5405405405405403
0.15957446808510636,0.39189189189189183,,0.2459016393442623,,,,0.39285714285714324,0.4102564102564103,0.216216216216216
0.2127659574468085,,,0.28688524590163933,0.4150943396226414,0.6625,,0.4285714285714284,0.38974358974358986,0.13513513513513487
0.19148936170212763,0.7567567567567568,,0.3934426229508196,0.31132075471698106,0.6187500000000001,0.7499999999999858,0.2738095238095237,0.276923076923077,0.18918918918918903
0.15957446808510636,0.6756756756756757,0.5068965517241381,0.21311475409836061,0.9528301886792452,0.6500000000000001,0.7499999999999858,0.45238095238095255,0.5230769230769232,
0.3829787234042553,0.3783783783783784,0.027586206896551724,0.35245901639344257,0.43396226415094336,0.7375,0.5,0.5714285714285716,,0.4054054054054055
0.32978723404255317,0.39189189189189183,0.1103448275862069,0.11475409836065571,0.43396226415094336,0.39999999999999997,0.5,0.6190476190476191,0.6564102564102565,0.5945945945945943
0.2872340425531915,0.3243243243243243,0.3620689655172413,0.22950819672131145,,0.43124999999999997,0.5,0.7023809523809526,0.4564102564102564,0.5405405405405403
0.19148936170212763,0.43243243243243246,0.3517241379310345,0.13934426229508196,0.16037735849056603,0.3,0.5,0.4285714285714284,0.5230769230769232,0.5135135135135134
0.36170212765957444,0.4594594594594595,0.2689655172413793,0.28688524590163933,,0.33749999999999997,0.5,0.5833333333333335,0.6051282051282052,0.7162162162162162
0.19148936170212763,0.5135135135135135,,0.3852459016393442,,0.48125,1.0,0.5238095238095237,,0.29729729729729715
0.553191489361702,0.36486486486486486,0.01724137931034482,,0.03773584905660378,0.4125,0.5,0.5476190476190479,0.47179487179487184,0.18918918918918903
