Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
0.3806451612903226,,0.7248322147651007,0.2883435582822086,0.31896551724137934,0.7354838709677419,,,,0.18421052631578938
0.4387096774193549,,,,,0.9806451612903226,,,0.49339207048458167,0.11842105263157876
,0.2702702702702703,,,0.07758620689655173,0.45161290322580644,0.5,0.47499999999999964,0.25110132158590315,0.23684210526315774
0.07096774193548389,0.6081081081081081,0.05369127516778523,0.2576687116564417,,0.4451612903225806,0.5,0.6749999999999998,,0.4736842105263155
0.10967741935483871,0.4054054054054054,0.3523489932885906,0.2576687116564417,,,,0.4499999999999993,0.19383259911894268,0.26315789473684204
0.41935483870967744,0.43243243243243246,0.19798657718120805,0.07361963190184051,0.2931034482758621,0.36129032258064514,0.2499999999999858,0.5874999999999999,,0.9999999999999998
0.36129032258064525,0.4594594594594595,0.04362416107382551,0.10429447852760737,0.3448275862068966,0.46451612903225803,0.2499999999999858,0.2999999999999998,0.21145374449339205,
0.25806451612903225,0.4729729729729729,0.030201342281879193,0.15950920245398773,0.3275862068965517,,0.2499999999999858,0.4874999999999998,0.35242290748898686,0.48684210526315774
0.5032258064516131,0.5945945945945946,,,0.3275862068965517,0.6451612903225806,,0.4624999999999999,,0.26315789473684204
0.23225806451612901,0.4594594594594595,0.030201342281879193,0.06748466257668712,,0.45161290322580644,0.2499999999999858,0.49999999999999956,0.6607929515418505,0.644736842105263
,0.33783783783783783,0.1912751677852349,,,,0.5,0.5874999999999999,0.40528634361233484,0.3157894736842104
0.39999999999999997,1.0,0.05369127516778523,0.14110429447852763,0.353448275862069,0.6258064516129033,0.2499999999999858,0.6374999999999997,0.40528634361233484,
0.25806451612903225,0.48648648648648646,,0.18404907975460125,,0.5161290322580645,1.0,0.5625,0.2819383259911894,0.1315789473684208
0.1548387096774193,,0.7181208053691276,0.18404907975460125,0.5172413793103449,0.5096774193548387,0.7499999999999858,0.6124999999999998,,0.39473684210526305
,0.5675675675675675,0.7248322147651007,,0.4913793103448276,0.8709677419354838,1.0,,0.5638766519823789,
0.5870967741935484,,0.5469798657718121,0.2147239263803681,0.603448275862069,0.6258064516129033,,0.3999999999999999,0.2951541850220264,0.11842105263157876
0.33548387096774196,0.35135135135135137,0.5469798657718121,0.11656441717791413,0.0,0.3096774193548387,0.5,0.38749999999999973,0.1806167400881057,
0.17419354838709677,0.6621621621621622,,,0.5517241379310346,0.5290322580645161,,0.7749999999999995,0.1806167400881057,0.18421052631578938
0.21290322580645166,0.4594594594594595,,0.14110429447852763,0.3275862068965517,,0.5,0.5499999999999994,,0.43421052631578916
0.29677419354838713,0.35135135135135137,0.6610738255033558,0.2638036809815951,,,,,0.21145374449339205,0.2236842105263157
0.33548387096774196,0.48648648648648646,0.3322147651006712,0.15950920245398773,0.4913793103448276,0.6580645161290323,0.5,0.3500000000000001,0.14096916299559475,0.5263157894736841
0.39999999999999997,,0.0033557046979865793,0.16564417177914112,0.4310344827586208,0.6258064516129033,0.2499999999999858,0.3999999999999999,,0.7105263157894737
0.3806451612903226,0.39189189189189183,0.05369127516778523,0.15950920245398773,0.4137931034482759,0.3935483870967742,0.0,0.3999999999999999,0.26431718061674014,
0.12903225806451613,0.48648648648648646,0.05704697986577181,0.15950920245398773,,0.4258064516129032,0.2499999999999858,0.3624999999999998,0.4361233480176212,0.5921052631578945
0.5677419354838711,0.3243243243243243,0.3422818791946309,0.23926380368098163,0.4482758620689656,0.6064516129032258,0.5,0.43749999999999956,,0.21052631578947345
0.17419354838709677,,,,0.2155172413793104,,,0.1499999999999999,0.37885462555066085,0.26315789473684204
0.2774193548387097,0.5675675675675675,0.7080536912751679,0.36809815950920244,0.5258620689655173,0.8064516129032259,0.7499999999999858,0.18749999999999956,0.26431718061674014,0.1578947368421051
0.41935483870967744,0.43243243243243246,0.36577181208053694,,0.3793103448275862,0.5677419354838709,0.5,0.4624999999999999,0.21145374449339205,0.17105263157894712
0.1548387096774193,0.4054054054054054,0.016778523489932883,0.14110429447852763,0.20689655172413796,0.19999999999999998,0.2499999999999858,0.3374999999999999,0.39207048458149785,0.5263157894736841
0.1935483870967742,0.39189189189189183,,0.18404907975460125,,,,0.41249999999999964,0.35242290748898686,0.21052631578947345
0.25806451612903225,,0.6744966442953021,0.2147239263803681,0.3793103448275862,0.6838709677419353,,0.4499999999999993,0.3348017621145375,0.1315789473684208
0.23225806451612901,,,0.29447852760736193,0.28448275862068967,,0.7499999999999858,0.28749999999999964,0.23788546255506615,0.18421052631578938
