Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,0.49450549450549447,,,,,,0.38144329896907214,0.44444444444444453,0.18421052631578938
,,0.8461538461538463,0.15753424657534246,,0.8284023668639053,,,,
0.30555555555555547,0.21978021978021978,0.137123745819398,0.11986301369863014,0.04375,0.3431952662721894,0.5,0.39175257731958757,0.23456790123456794,0.23684210526315774
0.038194444444444434,0.49450549450549447,0.05351170568561872,0.13356164383561642,0.11250000000000002,0.33727810650887574,,0.5567010309278353,0.34156378600823056,0.4736842105263155
0.059027777777777776,0.3296703296703296,0.3511705685618729,0.13356164383561642,0.45,0.485207100591716,0.5,0.3711340206185567,0.18106995884773663,0.26315789473684204
0.22569444444444442,0.3516483516483516,0.19732441471571904,0.030821917808219176,0.2,0.2603550295857988,0.2499999999999858,0.48453608247422686,,0.9999999999999998
0.19444444444444442,0.37362637362637363,0.043478260869565216,0.04794520547945205,0.2375,0.3550295857988166,0.2499999999999858,0.2474226804123716,0.19753086419753085,0.7105263157894737
0.13888888888888884,0.3846153846153845,0.030100334448160543,0.07876712328767121,0.22499999999999998,0.33136094674556216,0.2499999999999858,0.40206185567010344,0.32921810699588483,0.48684210526315774
0.2708333333333333,0.48351648351648346,0.30434782608695654,0.15753424657534246,0.22499999999999998,0.5207100591715976,0.5,0.38144329896907214,0.27572016460905346,
0.12499999999999996,0.37362637362637363,0.030100334448160543,0.0273972602739726,0.4375,0.3431952662721894,0.2499999999999858,0.4123711340206184,0.6172839506172841,0.644736842105263
0.392361111111111,0.2747252747252747,0.1906354515050167,0.19520547945205477,0.48749999999999993,0.7041420118343195,,0.48453608247422686,0.37860082304526754,0.3157894736842104
0.21527777777777773,0.8131868131868131,0.05351170568561872,0.0684931506849315,,0.5029585798816568,,0.525773195876289,,0.8421052631578945
0.13888888888888884,0.39560439560439553,0.8762541806020068,0.09246575342465754,0.275,0.4023668639053254,1.0,,0.26337448559670784,0.1315789473684208
,,0.7157190635451506,0.09246575342465754,0.3625,0.39644970414201186,,,0.6419753086419754,0.39473684210526305
0.21527777777777773,0.46153846153846145,0.7224080267558529,,,,1.0,0.4123711340206184,0.5267489711934157,0.21052631578947345
0.31597222222222215,0.6923076923076922,0.5451505016722409,,0.425,0.5029585798816568,0.7499999999999858,,0.27572016460905346,
